Date/Time,Rainfall total (mm)
10/01/2020,0
09/01/2020,5.85
08/01/2020,2.73
07/01/2020,0
06/01/2020,0.585
05/01/2020,0.195
04/01/2020,0
03/01/2020,7.215
02/01/2020,0.39
01/01/2020,0
